# File Name: /Users/chiara/Dropbox/eutops/data/raw_data/methylight/Barcelona_selfsamples/2021-08-17_BARCA_plate 1_A1-G6.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-17 11:56:33 AM CEST
# Run End Date/Time: 2021-08-17 01:06:09 PM CEST
# Run Duration: 69 minutes 36 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:32:54 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-11-16 03:42:15 PM CET
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"3","A3","14","58494.816",,"123760.39","98554.26"
"3","A3","15","58758.12",,"123748.45","98993.97"
"3","A3","16","58878.293",,"123687.31","99039.82"
"3","A3","17","58831.43",,"123606.52","99035.336"
"3","A3","18","58986.914",,"123593.41","98952.305"
"3","A3","19","59088.77",,"123585.7","98923.02"
"3","A3","20","59122.48",,"123784.336","99098.055"
"3","A3","21","59287.445",,"123783.734","99081.79"
"3","A3","22","58963.285",,"123831.2","99166.6"
"3","A3","23","58864.48",,"123725.46","99366.29"
"3","A3","24","59203.715",,"123631.516","99252.59"
"3","A3","25","59178.61",,"123673.86","99163.57"
"3","A3","26","59216.223",,"123749.18","99296.734"
"3","A3","27","59537.863",,"123686.57","99420.234"
"3","A3","28","59660.254",,"123632.86","99431.53"
"3","A3","29","59792.97",,"123543.61","99707.29"
"3","A3","30","59654.836",,"123472.11","99737.17"
"3","A3","31","59518.184",,"123468.74","99644.48"
"3","A3","32","59650.496",,"123566.14","99739.6"
"3","A3","33","59843.777",,"123550.21","99984.88"
"3","A3","34","59814.15",,"123619.78","99964.05"
"3","A3","35","59976.438",,"123553.21","99998.734"
"3","A3","36","60030.414",,"123454.42","100253.164"
"3","A3","37","60519.42",,"123377.74","100232.02"
"3","A3","38","60572.21",,"123229.63","100268.21"
"3","A3","39","60638.504",,"122901.15","100203.91"
"3","A3","40","60622.582",,"122808.055","100315.766"
"3","A3","41","60680.61",,"122791.3","100403.61"
"3","A3","42","60534.566",,"122813.42","100413.77"
"3","A3","43","60379.7",,"122928.61","100359.34"
"3","A3","44","60372.41",,"122959.61","100541.46"
"3","A3","45","60414.543",,"122929.945","100470.34"
"4","A4","1","55358.49",,"120437.06","97609.125"
"4","A4","2","55449.168",,"120386.6","97308.6"
"4","A4","3","55292.297",,"119533.664","96609.22"
"4","A4","4","54823.867",,"118482.516","96048.36"
"4","A4","5","54038.53",,"117890.37","95328.5"
"4","A4","6","53679.2",,"116914.54","94482.484"
"4","A4","7","53270.918",,"115823.63","93189.13"
"4","A4","8","53008.24",,"115068.31","92833.66"
"4","A4","9","52569.273",,"114802.94","92810.82"
"4","A4","10","52470.43",,"114676.43","92845.11"
"4","A4","11","52562.543",,"114576.06","92974.32"
"4","A4","12","52829.848",,"114378.12","92947.305"
"4","A4","13","52957.816",,"114282.305","92830.96"
