# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-13_BARCA_plate 3_4_H1-12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-13 11:22:39 AM CEST
# Run End Date/Time: 2021-08-13 12:32:10 PM CEST
# Run Duration: 69 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-15 11:09:36 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:35:35 PM CEST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"16","A16","16000491010520","","GSX1","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","36.795548582310154","36.795548582310154","0.9073453917003554","","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
"19","A19","16000491011037","","COL2A1","FAM","UNKNOWN","FAM","NFQ-MGB","Amp","26.448334071262046","26.624209663198155","0.9412711920065798","0.2487256474066611","","","false","0.12","true","3","20","","","","","","","","","","","false"
"19","A19","16000491011037","","EpC","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","26.854065492567173","26.8297319630432","0.9128736850540498","0.034412807473993307","","","true","0.03999999910593033","true","3","24","","","","","","","","","","","false"
"19","A19","16000491011037","","ImC","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","28.8307090200289","28.887394819994647","0.9525080149043582","0.08016582710555517","","","true","0.03999999910593033","true","3","26","","","","","","","","","","","false"
"20","A20","16000491011062","","COL2A1","FAM","UNKNOWN","FAM","NFQ-MGB","Amp","25.6667360114893","25.562264709759422","0.836731669892494","0.14774473178474098","","","false","0.12","true","3","22","","","","","","","","","","","false"
"20","A20","16000491011062","","EpC","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","25.308391764777802","25.188654488497974","0.9755992747444859","0.16933408003619596","","","true","0.03999999910593033","true","3","22","","","","","","","","","","","false"
"20","A20","16000491011062","","ImC","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","31.97121954801652","31.63515242468199","0.9477653154727051","0.47527068368719916","","","true","0.03999999910593033","true","3","28","","","","","","","","","","","false"
"21","A21","16000491010451","","COL2A1","FAM","UNKNOWN","FAM","NFQ-MGB","Amp","26.4736280267918","26.19112416876685","0.8827522327274141","0.3995207874418368","","","false","0.12","true","3","23","","","","","","","","","","","false"
"21","A21","16000491010451","","EpC","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","26.01510759319749","25.939394139736873","0.9450902497856971","0.10707499273854082","","","true","0.03999999910593033","true","3","23","","","","","","","","","","","false"
"21","A21","16000491010451","","ImC","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","28.13612028578462","27.97120004056534","0.9489764091172443","0.2332324474995568","","","true","0.03999999910593033","true","3","24","","","","","","","","","","","false"
