# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-13_BARCA_plate 3_4_H1-12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-13 11:22:39 AM CEST
# Run End Date/Time: 2021-08-13 12:32:10 PM CEST
# Run Duration: 69 minutes 31 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-15 11:09:36 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:35:35 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"3","A3","13","54868.598",,"116474.85","101938.305"
"3","A3","14","54976.312",,"116502.945","102023.83"
"3","A3","15","55359.145",,"116482.51","102296.42"
"3","A3","16","55434.027",,"116605.17","102375.9"
"3","A3","17","55601.137",,"116553.85","102147.055"
"3","A3","18","55610.848",,"116499.05","102162.945"
"3","A3","19","55430.766",,"116480.9","102612.74"
"3","A3","20","55457.93",,"116412.625","102525.91"
"3","A3","21","55951.934",,"116448.15","102447.27"
"3","A3","22","55901.48",,"116596.44","102583.086"
"3","A3","23","55824.477",,"116614.2","102630.266"
"3","A3","24","55977.31",,"116543.71","102929.01"
"3","A3","25","55853.914",,"116535.17","102903.39"
"3","A3","26","55780.168",,"116399.48","102806.85"
"3","A3","27","55947.09",,"116230.12","102862.05"
"3","A3","28","55944.652",,"116109.08","103023.695"
"3","A3","29","56063.656",,"116039.73","103407.03"
"3","A3","30","56239.746",,"116032.86","103683.19"
"3","A3","31","56383.844",,"116048.445","104033.375"
"3","A3","32","56177.234",,"116282.68","104837.47"
"3","A3","33","56093.91",,"116255.445","106388.45"
"3","A3","34","56329.25",,"115974.19","109211.38"
"3","A3","35","56306.58",,"115879.68","113697.26"
"3","A3","36","56399.594",,"115914.09","119389.03"
"3","A3","37","56636.125",,"115890.445","125903.414"
"3","A3","38","56550.383",,"115915.77","132472.47"
"3","A3","39","56369.918",,"115948.72","138507.77"
"3","A3","40","56286.98",,"115891.195","144038.28"
"3","A3","41","56509.33",,"115748.66","148994.47"
"3","A3","42","56672.1",,"115731.65","153415.92"
"3","A3","43","56669.44",,"115832.5","157262.45"
"3","A3","44","56845.09",,"115655.625","160404.28"
"3","A3","45","57147.137",,"115599.5","162873.23"
"4","A4","1","59241.117",,"126245.96","115373.0"
"4","A4","2","58991.1",,"125672.7","114476.31"
"4","A4","3","58436.25",,"124242.42","113295.42"
"4","A4","4","57375.184",,"123137.42","112272.31"
"4","A4","5","56820.594",,"122444.09","111351.914"
"4","A4","6","56448.395",,"121799.2","110395.87"
"4","A4","7","56177.38",,"120827.89","109836.59"
"4","A4","8","55926.81",,"120001.51","109055.36"
"4","A4","9","55576.797",,"119095.33","108128.47"
"4","A4","10","54874.395",,"118032.65","106982.98"
"4","A4","11","54318.426",,"116930.55","106032.555"
"4","A4","12","53155.008",,"114024.55","103837.81"
"4","A4","13","52757.844",,"113279.836","103212.82"
"4","A4","14","52672.89",,"113295.44","103000.04"
"4","A4","15","52568.516",,"113430.75","103029.4"
"4","A4","16","52631.797",,"113388.71","103366.37"
"4","A4","17","53003.703",,"113305.88","103471.914"
"4","A4","18","53084.098",,"113189.7","103468.1"
"4","A4","19","52881.062",,"113255.62","103552.65"
"4","A4","20","52877.633",,"113676.484","103675.82"
"4","A4","21","53206.586",,"113743.21","103699.25"
"4","A4","22","53227.996",,"113751.51","103936.29"
"4","A4","23","53285.562",,"113479.95","103993.92"
"4","A4","24","53502.082",,"113372.01","103961.5"
"4","A4","25","53357.184",,"113352.13","104146.414"
"4","A4","26","53268.02",,"113224.79","104275.766"
"4","A4","27","53347.066",,"113240.305","104373.32"
"4","A4","28","53317.805",,"113493.984","104572.79"
"4","A4","29","53442.535",,"113466.74","104507.72"
"4","A4","30","53797.273",,"113431.05","104436.03"
"4","A4","31","53912.668",,"113466.9","104632.06"
"4","A4","32","53946.07",,"113179.09","105411.664"
"4","A4","33","54544.883",,"113145.69","106301.18"
"4","A4","34","55515.125",,"113352.51","108035.86"
"4","A4","35","56949.617",,"113464.46","110164.97"
"4","A4","36","59475.836",,"113504.375","113121.05"
"4","A4","37","62920.375",,"113517.06","116845.586"
"4","A4","38","67575.695",,"113771.3","120941.95"
"4","A4","39","72858.77",,"114138.29","124862.016"
"4","A4","40","78088.65",,"114663.04","128538.28"
"4","A4","41","83284.66",,"114871.836","132531.61"
"4","A4","42","88004.2",,"114919.86","136809.11"
"4","A4","43","93041.96",,"115373.664","140742.83"
"4","A4","44","97754.695",,"115452.45","144487.81"
"4","A4","45","101362.58",,"115720.805","147293.22"
"7","A7","1","9348.18",,"132565.23","52052.33"
"7","A7","2","9339.48",,"132156.44","51828.785"
"7","A7","3","9505.34",,"130837.984","51600.324"
"7","A7","4","9471.301",,"129633.336","51461.383"
