# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-18_BARCA_plate 2_W_all samples.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-18 12:46:17 PM CEST
# Run End Date/Time: 2021-08-18 01:55:50 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 10:46:45 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:12 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"3","A3","13","54749.83",,"118801.41","89505.164"
"3","A3","14","54736.336",,"118770.21","89570.95"
"3","A3","15","54700.652",,"119042.805","89582.83"
"3","A3","16","54655.33",,"119010.91","89682.46"
"3","A3","17","54665.223",,"118860.875","89838.766"
"3","A3","18","54603.164",,"118587.53","89941.695"
"3","A3","19","54561.723",,"118482.65","90064.84"
"3","A3","20","54778.055",,"118424.28","89696.234"
"3","A3","21","55021.137",,"118334.266","89559.52"
"3","A3","22","55135.195",,"118304.375","89739.336"
"3","A3","23","55214.184",,"118319.63","89884.664"
"3","A3","24","55169.523",,"118394.68","89985.0"
"3","A3","25","55273.305",,"118401.734","90203.375"
"3","A3","26","55311.59",,"118435.64","90253.07"
"3","A3","27","55363.33",,"118427.63","90172.695"
"3","A3","28","55223.457",,"118476.49","90196.1"
"3","A3","29","55125.22",,"118548.78","90269.98"
"3","A3","30","55245.926",,"118491.55","90909.445"
"3","A3","31","55396.395",,"118439.54","91293.39"
"3","A3","32","55942.65",,"118411.766","92139.11"
"3","A3","33","56788.42",,"118397.414","93951.71"
"3","A3","34","57887.82",,"118444.99","97278.01"
"3","A3","35","60826.336",,"118505.87","102476.445"
"3","A3","36","65500.977",,"118682.4","109315.03"
"3","A3","37","72138.81",,"118813.875","116547.766"
"3","A3","38","80486.99",,"119424.39","123571.32"
"3","A3","39","88814.55",,"119912.164","130029.51"
"3","A3","40","96919.69",,"120256.21","136019.42"
"3","A3","41","104572.945",,"120616.414","140977.03"
"3","A3","42","110721.54",,"121170.86","144920.38"
"3","A3","43","116329.14",,"121279.984","148792.89"
