# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-17_BARCA_plate 1_A7-G12.eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-17 03:24:04 PM CEST
# Run End Date/Time: 2021-08-17 04:35:10 PM CEST
# Run Duration: 71 minutes 5 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 02:51:29 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:32:21 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"3","A3","13","58504.875",,"121727.75","98088.89"
"3","A3","14","58500.504",,"121666.6","98083.914"
"3","A3","15","58535.367",,"121761.42","98101.89"
"3","A3","16","58833.473",,"121820.3","98247.125"
"3","A3","17","58889.785",,"121898.29","98292.4"
"3","A3","18","58828.87",,"121904.75","98635.71"
"3","A3","19","58832.76",,"121937.53","98753.96"
"3","A3","20","58767.72",,"121984.77","98874.12"
"3","A3","21","58725.426",,"121873.61","98877.734"
"3","A3","22","58917.586",,"121602.96","98945.14"
"3","A3","23","59221.113",,"121519.72","99028.99"
"3","A3","24","59227.082",,"121695.94","99086.0"
"3","A3","25","59199.465",,"121946.695","99226.12"
"3","A3","26","59361.984",,"121916.125","99429.55"
"3","A3","27","59602.867",,"121823.97","99387.4"
"3","A3","28","59583.492",,"121671.95","99447.664"
"3","A3","29","59513.87",,"121581.88","99378.17"
"3","A3","30","59519.22",,"121564.26","99476.14"
"3","A3","31","59846.82",,"121516.84","99633.76"
"3","A3","32","59598.754",,"121518.39","99768.13"
"3","A3","33","59488.473",,"121503.29","99768.17"
"3","A3","34","59773.746",,"121519.96","99758.03"
"3","A3","35","59972.113",,"121138.09","99916.81"
"3","A3","36","59892.707",,"121047.984","100143.44"
"3","A3","37","59900.477",,"121125.26","100304.836"
"3","A3","38","60194.797",,"121202.914","100315.53"
"3","A3","39","60379.117",,"121210.21","100334.73"
"3","A3","40","60319.61",,"121256.57","100285.29"
"3","A3","41","60413.82",,"121128.51","100278.734"
"3","A3","42","60475.453",,"121138.56","100420.625"
"3","A3","43","60413.18",,"121377.32","100656.44"
"3","A3","44","60592.676",,"121388.734","100709.305"
"3","A3","45","60727.6",,"121368.586","100852.19"
"4","A4","1","51761.95",,"114214.52","92816.9"
"4","A4","2","51760.746",,"114255.664","92855.66"
"4","A4","3","51803.902",,"114718.07","93263.49"
"4","A4","4","52122.707",,"114868.09","93350.95"
"4","A4","5","52742.24",,"114879.2","93548.33"
"4","A4","6","52838.03",,"115135.6","93759.91"
"4","A4","7","53009.203",,"115216.73","93964.32"
"4","A4","8","53248.773",,"115157.59","94139.414"
"4","A4","9","53311.953",,"115173.63","94571.945"
"4","A4","10","53687.367",,"115381.18","94748.414"
"4","A4","11","53637.105",,"115432.055","94851.34"
"4","A4","12","53515.445",,"115424.47","94828.086"
"4","A4","13","53596.055",,"115456.89","95034.13"
"4","A4","14","53680.957",,"115396.336","94983.1"
"4","A4","15","53675.5",,"115376.74","95012.08"
"4","A4","16","53989.95",,"115447.49","95169.2"
"4","A4","17","54053.176",,"115489.8","95340.7"
"4","A4","18","54000.223",,"115687.69","95264.35"
"4","A4","19","53954.848",,"115709.17","95291.77"
"4","A4","20","53980.05",,"115645.164","95446.9"
"4","A4","21","54078.52",,"115562.44","95927.79"
"4","A4","22","54173.785",,"115584.13","96221.875"
"4","A4","23","54167.953",,"115507.734","96170.25"
"4","A4","24","54188.188",,"115466.76","96175.57"
"4","A4","25","54059.62",,"115703.42","96286.5"
"4","A4","26","53971.36",,"115658.69","96472.086"
"4","A4","27","54099.5",,"115522.18","96424.65"
"4","A4","28","54549.17",,"115413.92","96342.4"
"4","A4","29","54605.55",,"115327.68","96460.29"
"4","A4","30","54492.49",,"115394.06","96770.055"
"4","A4","31","54567.387",,"115469.84","96893.445"
"4","A4","32","54538.277",,"115516.3","96870.12"
"4","A4","33","54459.996",,"115444.375","96928.02"
"4","A4","34","54385.44",,"115433.05","96816.71"
"4","A4","35","54725.004",,"115350.3","96840.664"
"4","A4","36","55160.934",,"115376.78","97036.3"
"4","A4","37","55161.97",,"115521.59","97150.945"
"4","A4","38","55172.43",,"115369.164","97287.83"
"4","A4","39","55083.785",,"115220.055","97382.414"
"4","A4","40","55179.336",,"115127.32","97310.62"
"4","A4","41","55235.527",,"115131.5","97569.49"
"4","A4","42","55422.535",,"115229.39","97580.65"
"4","A4","43","55362.293",,"115278.5","97540.16"
"4","A4","44","55379.895",,"115197.56","97763.48"
"4","A4","45","55500.773",,"115148.086","98298.66"
"5","A5","1","53274.36",,"118528.93","93533.89"
"5","A5","2","53266.65",,"118463.164","93426.086"
"5","A5","3","53272.51",,"118230.03","93474.016"
"5","A5","4","53258.656",,"118153.32","93872.58"
"5","A5","5","53247.49",,"118340.484","93892.43"
"5","A5","6","53223.836",,"118515.64","93863.32"
"5","A5","7","53336.688",,"118514.71","94077.92"
"5","A5","8","53874.047",,"118378.5","94307.64"
"5","A5","9","54192.816",,"118270.67","94353.336"
"5","A5","10","54231.414",,"118243.336","94612.98"
"5","A5","11","54131.15",,"118194.42","94576.59"
"5","A5","12","54017.246",,"118088.29","94512.04"
"5","A5","13","53981.176",,"118058.58","94710.38"
"5","A5","14","54156.426",,"118296.13","95034.766"
"5","A5","15","54223.492",,"118453.64","95185.49"
"5","A5","16","54575.38",,"118472.39","95155.19"
"5","A5","17","54535.7",,"118383.48","95329.94"
"5","A5","18","54143.76",,"118254.49","95333.13"
"5","A5","19","54122.434",,"118091.91","95355.1"
"5","A5","20","54715.848",,"118056.43","95684.4"
"5","A5","21","55025.586",,"118274.93","95652.5"
"5","A5","22","55082.36",,"118277.62","95599.01"
"5","A5","23","54923.137",,"118261.97","95530.18"
"5","A5","24","54634.242",,"118273.625","95752.97"
"5","A5","25","54523.42",,"118197.055","95963.41"
"5","A5","26","54707.133",,"118139.63","95974.28"
"5","A5","27","54918.34",,"118102.78","96186.64"
"5","A5","28","55101.797",,"118030.695","96010.01"
