# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-12_BARCA_plate 4_A7-G12(1).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-12 03:47:11 PM CEST
# Run End Date/Time: 2021-08-12 04:56:45 PM CEST
# Run Duration: 69 minutes 34 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-13 11:33:57 AM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:31:06 PM CEST
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"16000491010195","EpC","2","-","0","27.804397680185627","0.057155519560717814","0.04041505546362392",
"16000491010195","GSX1","2","-","0","","","",
"16000491010195","GYPC1","2","-","0","","","",
"16000491010195","GYPC2","2","-","0","","","",
"16000491010195","ImC","2","-","0","","","",
"16000491010195","RALYL","2","-","0","37.90397213315063","","",
"16000491010195","ZSCAN12","2","-","0","","","",
"16000491010275","COL2A1","2","-","0","30.0783527832939","0.007872441982001453","0.005566657109970892",
"16000491010275","DPP6","2","-","0","","","",
"16000491010275","EpC","2","-","0","28.983386252962383","0.02278555969521137","0.016111823773614843",
"16000491010275","GSX1","2","-","0","36.96853193500209","","",
"16000491010275","GYPC1","2","-","0","","","",
"16000491010275","GYPC2","2","-","0","","","",
"16000491010275","ImC","2","-","0","30.746114990641015","0.16049272442667364","0.11348549377320478",
"16000491010275","RALYL","2","-","0","","","",
"16000491010275","ZSCAN12","2","-","0","","","",
"16000491010298","COL2A1","2","-","0","31.222410022292692","0.08126116392279005","0.05746032005691647",
"16000491010298","DPP6","2","-","0","","","",
"16000491010298","EpC","2","-","0","29.629609753163077","0.3942296922650489","0.27876248874570186",
"16000491010298","GSX1","2","-","0","","","",
"16000491010298","GYPC1","2","-","0","","","",
"16000491010298","GYPC2","2","-","0","","","",
"16000491010298","ImC","2","-","0","32.23831483343364","0.06908556459131616","0.048850871204620894",
"16000491010298","RALYL","2","-","0","","","",
"16000491010298","ZSCAN12","2","-","0","","","",
"16000491010356","COL2A1","2","-","0","31.340739068496475","0.4109223371218562","0.2905659711198891",
"16000491010356","DPP6","2","-","0","","","",
"16000491010356","EpC","2","-","0","35.707607955717975","0.6647401761806488","0.4700422863044771",
"16000491010356","GSX1","2","-","0","","","",
"16000491010356","GYPC1","2","-","0","","","",
"16000491010356","GYPC2","2","-","0","","","",
"16000491010356","ImC","2","-","0","31.877197902210735","0.12230328243418463","0.0864814803705855",
"16000491010356","RALYL","2","-","0","","","",
"16000491010356","ZSCAN12","2","-","0","","","",
"16000491010361","COL2A1","2","-","0","28.897350474696772","0.09550700632244605","0.06753365182142806",
"16000491010361","DPP6","2","-","0","39.00009243298142","3.9357381512023415","2.782987135689781",
"16000491010361","EpC","2","-","0","27.022682465428375","0.053015557507104204","0.03748766022165876",
"16000491010361","GSX1","2","-","0","39.42627383536711","2.663753782483731","1.8835583630055617",
"16000491010361","GYPC1","2","-","0","37.56656693464206","4.120852259177617","2.9138825767323975",
"16000491010361","GYPC2","2","-","0","","","",
"16000491010361","ImC","2","-","0","31.007488560614803","0.13664245221666083","0.09662080456035965",
"16000491010361","RALYL","2","-","0","35.51154615753495","","",
"16000491010361","ZSCAN12","2","-","0","37.04378641198785","1.586123918777358","1.1215589787696505",
"16000491010367","COL2A1","2","-","0","27.084767039843562","0.04693733364175208","0.03318970690889836",
"16000491010367","DPP6","2","-","0","31.960084665642274","0.35162028980978544","0.24863309132727837",
"16000491010367","EpC","2","-","0","27.998479980410238","0.07559472670219504","0.05345354387306588",
"16000491010367","GSX1","2","-","0","32.77244419684042","0.15829257416596074","0.11192975260422533",
"16000491010367","GYPC1","2","-","0","32.36906707854858","0.6095801672271435","0.43103826992314276",
"16000491010367","GYPC2","2","-","0","31.97557959765264","0.094424419242981","0.06676814715631339",
"16000491010367","ImC","2","-","0","27.940438040640657","0.11519018129343704","0.08145175831869712",
"16000491010367","RALYL","2","-","0","37.21011454364115","4.860104226575857","3.4366126558851895",
"16000491010367","ZSCAN12","2","-","0","32.70041602015717","0.07603765435527877","0.053766741020136434",
"16000491010370","COL2A1","2","-","0","28.969847486430353","0.12024658107811632","0.08502717289483404",
"16000491010370","DPP6","2","-","0","38.033135904190836","","",
"16000491010370","EpC","2","-","0","28.120179203191782","0.10789653316761096","0.07629437026933694",
