# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_A1-G6(2).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 02:27:49 PM CEST
# Run End Date/Time: 2021-08-11 03:37:23 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:15:33 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:56 PM CEST
"Well","Well Position","Sample","Quantity","Target","Dye","Task","Reporter","Quencher","Amp Status","Cq","Cq Mean","Cq Confidence","Cq SD","Quantity Mean","Quantity SD","Auto Threshold","Threshold","Auto Baseline","Baseline Start","Baseline End","Tm1","Tm2","Tm3","Tm4","Y-Intercept","R2","Slope","Efficiency","Standard Deviation","Standard Error","Omit"
"13","A13","16000491010030","","RALYL","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"13","A13","16000491010030","","GSX1","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","36.531264764225476","36.531264764225476","0.9172105488406505","","","","true","0.03999999910593033","true","3","33","","","","","","","","","","","false"
"14","A14","16000491010510","","RALYL","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","31.73347639916487","31.616558464823314","0.9805083563743903","0.16534692843051815","","","true","0.03999999910593033","true","3","28","","","","","","","","","","","false"
"14","A14","16000491010510","","GSX1","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","32.455325060421664","32.43498809042792","0.9617869349222836","0.028760818787027846","","","true","0.03999999910593033","true","3","29","","","","","","","","","","","false"
"15","A15","16000491010511","","RALYL","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","37.66555251972815","37.66555251972815","0.9244347538206227","","","","true","0.03999999910593033","true","3","34","","","","","","","","","","","false"
"15","A15","16000491010511","","GSX1","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"16","A16","16000491010512","","RALYL","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","25.990363603077235","25.972076963659703","0.9893212984555261","0.02586121347249721","","","true","0.03999999910593033","true","3","22","","","","","","","","","","","false"
"16","A16","16000491010512","","GSX1","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","33.3252952257705","33.04869578737775","0.9593300224724052","0.3911706771195735","","","true","0.03999999910593033","true","3","30","","","","","","","","","","","false"
"17","A17","16000491010515","","RALYL","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","32.183360511233445","32.79686747135706","0.9728948666903339","0.8676298636167215","","","true","0.03999999910593033","true","3","29","","","","","","","","","","","false"
"17","A17","16000491010515","","GSX1","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","33.10318856441278","33.179319607480224","0.9468723121605072","0.10766555362043277","","","true","0.03999999910593033","true","3","30","","","","","","","","","","","false"
"18","A18","16000491010517","","RALYL","CY5","UNKNOWN","CY5","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"18","A18","16000491010517","","GSX1","VIC","UNKNOWN","VIC","NFQ-MGB","No Amp","Undetermined","","0.0","","","","true","0.03999999910593033","true","3","44","","","","","","","","","","","false"
"19","A19","16000491010030","","COL2A1","FAM","UNKNOWN","FAM","NFQ-MGB","Amp","26.736187517242996","26.724071025272195","0.8543563488756832","0.017135307276195628","","","false","0.12","true","3","21","","","","","","","","","","","false"
"19","A19","16000491010030","","EpC","CY5","UNKNOWN","CY5","NFQ-MGB","Amp","26.147878168516108","26.132738723031775","0.954389665067073","0.021410409130983705","","","true","0.03999999910593033","true","3","23","","","","","","","","","","","false"
"19","A19","16000491010030","","ImC","VIC","UNKNOWN","VIC","NFQ-MGB","Amp","29.026010582139072","28.816554452864924","0.9338466245118496","0.2962156987415424","","","true","0.03999999910593033","true","3","26","","","","","","","","","","","false"
