# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_A1-G6(2).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 02:27:49 PM CEST
# Run End Date/Time: 2021-08-11 03:37:23 PM CEST
# Run Duration: 69 minutes 33 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-19 03:15:33 PM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:33:55 PM CEST
"Well","Well Position","Cycle Number","VIC","FAM","ROX","CY5"
"3","A3","13","60737.887",,"118813.234","104896.29"
"3","A3","14","60885.824",,"118807.29","104921.01"
"3","A3","15","61217.684",,"118551.65","104897.55"
"3","A3","16","61229.02",,"118420.945","104949.81"
"3","A3","17","61193.773",,"118313.664","105053.92"
"3","A3","18","61284.348",,"118355.82","105086.03"
"3","A3","19","61355.695",,"118688.766","105182.47"
"3","A3","20","61346.21",,"118643.24","105281.94"
"3","A3","21","61504.73",,"118599.54","105435.92"
"3","A3","22","61588.145",,"118734.14","105664.52"
"3","A3","23","61447.04",,"118731.03","105684.39"
"3","A3","24","61502.348",,"118668.87","105612.234"
"3","A3","25","62111.465",,"118261.7","105687.39"
"3","A3","26","62149.824",,"118253.22","105874.48"
"3","A3","27","61805.45",,"118625.93","105921.766"
"3","A3","28","61723.81",,"118616.55","106048.41"
"3","A3","29","62041.508",,"118527.164","106073.125"
"3","A3","30","62256.86",,"118447.08","106078.95"
"3","A3","31","62355.44",,"118416.12","106002.57"
"3","A3","32","62196.766",,"118490.414","106125.3"
"3","A3","33","62090.367",,"118481.39","106495.78"
"3","A3","34","62166.527",,"118527.78","106425.92"
"3","A3","35","62165.78",,"118546.28","106334.56"
"3","A3","36","62408.926",,"118508.01","106526.336"
"3","A3","37","62445.91",,"118390.16","106630.81"
"3","A3","38","62388.887",,"118381.836","106635.85"
"3","A3","39","62528.14",,"118597.82","106567.82"
"3","A3","40","62930.812",,"118685.914","106625.97"
"3","A3","41","62888.98",,"118658.61","107275.945"
"3","A3","42","62763.344",,"118697.125","107209.71"
"3","A3","43","62682.062",,"118614.266","107060.2"
"3","A3","44","62639.1",,"118575.42","107130.64"
