# File Name: /Users/chiara/Dropbox/Epigenetik-Labor/Experiments_Lena/MethyLight/Validation_Barcelona_samples/BARCA_pipeline/2021-08-11_BARCA_plate 3_A7-G12(3).eds
# Comment: 
# Operator: Admin
# Barcode: 
# Instrument Type: QuantStudio™ 7 Pro System
# Block Type: 384-Well Block
# Instrument Name: QS7Pro-2778720120007
# Instrument Serial Number: 2778720120007
# Heated Cover Serial Number: 2779320110679
# Block Serial Number: 2778320110688
# Run Start Date/Time: 2021-08-11 04:22:43 PM CEST
# Run End Date/Time: 2021-08-11 05:32:18 PM CEST
# Run Duration: 69 minutes 34 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# Passive Reference: ROX
# PCR Stage/Step Number: Stage 2 Step 2
# Quantification Cycle Method: CT
# Analysis Date/Time: 2021-08-13 10:05:09 AM CEST
# Software Name and Version: Design & Analysis Software v2.6.0
# Plugin Name and Version: Primary Analysis v1.7.0, Standard Curve v1.6.0
# Exported On: 2021-08-23 12:34:47 PM CEST
"Sample","Target","Number of Replicates","Quantity","Number of Cqs","Cq Mean","Cq SD","Cq SE","Biogroup"
"16000491010519","COL2A1","2","-","0","25.454674610612056","0.31659820222372365","0.22386873570386487",
"16000491010519","Dpp6","2","-","0","33.256351530874674","0.08733101730644323","0.06175235454530574",
"16000491010519","EpC","2","-","0","24.603243389978733","0.0062942621563312","0.004450715453307652",
"16000491010519","GSX1","2","-","0","35.06315438859272","0.008097798392474542","0.005726008156000272",
"16000491010519","GYPC1","2","-","0","32.25137741909835","0.008865581421779728","0.006268912742501919",
"16000491010519","GYPC2","2","-","0","32.25207564306024","0.4145898551747028","0.293159298005181",
"16000491010519","ImC","2","-","0","28.981420735504233","0.53792400519808","0.38036971183859003",
"16000491010519","RALYL","2","-","0","35.57303942684652","0.4190487228655771","0.2963121935858118",
"16000491010519","ZSCAN12","2","-","0","32.48377680339192","0.10385244445937448","0.07343476772002298",
"16000491010521","COL2A1","2","-","0","30.300081676279532","0.9380817940175377","0.6633239978574429",
"16000491010521","Dpp6","2","-","0","37.847065171831346","","",
"16000491010521","EpC","2","-","0","30.795665667177936","0.3459109876855574","0.24459600507939394",
"16000491010521","GSX1","2","-","0","","","",
"16000491010521","GYPC1","2","-","0","39.578246473957506","5.1585959821136935","3.6476782003542705",
"16000491010521","GYPC2","2","-","0","","","",
"16000491010521","ImC","2","-","0","31.409682013784938","0.28604133301309775","0.20226176627320086",
"16000491010521","RALYL","2","-","0","37.7117025939892","","",
"16000491010521","ZSCAN12","2","-","0","","","",
"16000491010560","COL2A1","2","-","0","35.12496950213842","","",
"16000491010560","Dpp6","2","-","0","","","",
"16000491010560","EpC","2","-","0","32.90122509760053","0.7055920472495014","0.49892892136142125",
"16000491010560","GSX1","2","-","0","","","",
"16000491010560","GYPC1","2","-","0","","","",
"16000491010560","GYPC2","2","-","0","","","",
"16000491010560","ImC","2","-","0","36.23208381584837","1.028900255808463","0.7275423480467376",
"16000491010560","RALYL","2","-","0","","","",
"16000491010560","ZSCAN12","2","-","0","","","",
"16000491010581","COL2A1","2","-","0","44.41069634575043","0.3046073016671644","0.21538988860778827",
"16000491010581","Dpp6","2","-","0","","","",
"16000491010581","EpC","2","-","0","32.71795725455496","0.2474469439356879","0.17497141204081235",
"16000491010581","GSX1","2","-","0","","","",
"16000491010581","GYPC1","2","-","0","","","",
"16000491010581","GYPC2","2","-","0","","","",
"16000491010581","ImC","2","-","0","39.88642272104779","0.8894602015961447","0.6289433401441875",
"16000491010581","RALYL","2","-","0","","","",
"16000491010581","ZSCAN12","2","-","0","","","",
"16000491010594","COL2A1","2","-","0","","","",
"16000491010594","Dpp6","2","-","0","","","",
"16000491010594","EpC","2","-","0","","","",
"16000491010594","GSX1","2","-","0","","","",
"16000491010594","GYPC1","2","-","0","","","",
"16000491010594","GYPC2","2","-","0","","","",
"16000491010594","ImC","2","-","0","","","",
"16000491010594","RALYL","2","-","0","","","",
"16000491010594","ZSCAN12","2","-","0","","","",
"16000491010595","COL2A1","2","-","0","26.307030170677752","1.0017341909050785","0.7083330393354006",
"16000491010595","Dpp6","2","-","0","","","",
"16000491010595","EpC","2","-","0","33.60089673949845","1.6662840475942222","1.1782407494368423",
"16000491010595","GSX1","2","-","0","39.29847417210803","","",
"16000491010595","GYPC1","2","-","0","36.018363568017165","","",
"16000491010595","GYPC2","2","-","0","","","",
"16000491010595","ImC","2","-","0","27.71955664196312","0.03430068734489817","0.02425424862093709",
"16000491010595","RALYL","2","-","0","41.52792845582999","","",
"16000491010595","ZSCAN12","2","-","0","43.63447658799363","","",
"16000491010613","COL2A1","2","-","0","25.19850593921517","0.42517070320063793","0.300641087395024",
"16000491010613","Dpp6","2","-","0","36.97324021051101","0.6456726055317163","0.4565594777978633",
"16000491010613","EpC","2","-","0","26.321380124195535","0.08669300610247072","0.06130121249650378",
"16000491010613","GSX1","2","-","0","38.97425417485421","0.2689135540787328","0.1901505976420473",
"16000491010613","GYPC1","2","-","0","","","",
"16000491010613","GYPC2","2","-","0","","","",
"16000491010613","ImC","2","-","0","26.545370113200033","0.14070572155587813","0.09949396986390759",
"16000491010613","RALYL","2","-","0","36.952380712318586","","",
"16000491010613","ZSCAN12","2","-","0","","","",
"16000491010673","COL2A1","2","-","0","26.470695696188486","0.6575920991634138","0.46498783257314646",
"16000491010673","Dpp6","2","-","0","32.32771591942908","0.18953216031566122","0.1340194758121399",
